type,name,description,link,owner,image
playlist,Christmas Vibes 2024 🎄,Christmas.,https://open.spotify.com/playlist/583cSUdsldtNLlMl4Me1Ux,Den Haku Christmas,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000d72cc6e78728dfd60fa95a883b86
playlist,christmas vibes🎅,aku suka denger lagu natal walaupun engga lagi natalan. jadi aku sengaja bikin playlist lagu natal hehe.,https://open.spotify.com/playlist/2J9gtnf4AmhiKKaEhpJass,Chrisstella Efivania,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8417340b33f5eb7e7c0e8125d1
playlist,Popular Christmas Songs ❄️🎄,,https://open.spotify.com/playlist/7l4sdtYsHVypensTVz8rb3,Lauren,https://mosaic.scdn.co/640/ab67616d00001e02119e4094f07a8123b471ac1dab67616d00001e024246e3158421f5abb75abc4fab67616d00001e02606911d049fb29072d5e8a72ab67616d00001e02f255b4346b93e3397e96d40f
playlist,Christmas vibes 🎄☃️❄️,,https://open.spotify.com/playlist/3TamnlNIyb9VdvReV1B3Zf,Lottie<3✨,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848a12b52203800e159e0ebaf9
playlist,christmas songs ❄️,,https://open.spotify.com/playlist/4Pej5WoIpT84lCqwgc5aUM,Cosmic Vibes,https://mosaic.scdn.co/640/ab67616d00001e02119e4094f07a8123b471ac1dab67616d00001e024246e3158421f5abb75abc4fab67616d00001e02a1db745e63940bc06985dea5ab67616d00001e02f2d2adaa21ad616df6241e7d
playlist,Lagu Natal 2024 🎉 Lagu Natal Barat & Indonesia 2023 - Kumpulan New Year & Christmas,"Tetaplah mengikuti playlist ini dan tekan suka! Lagu Natal 2024, Lagu Natal Barat &amp; Indonesia 2023, Kumpulan Lagu Natal",https://open.spotify.com/playlist/5ggj0zddP2k78OvLZvttsZ,Chartasia,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84852ba194b86e296b05a54eac
playlist,🌲🦌 christmas vibes :-),,https://open.spotify.com/playlist/52NROmLq412ybhJM5jHPzR,superkwann,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84384f8f08cad7f30a3f8c5100
playlist,Christmas 🎄 Instrumental Music 2024,Get into the Xmas spirit with peaceful instrumental and classical versions of carols &amp; classics on piano &amp; strings – for a relaxing holiday.,https://open.spotify.com/playlist/3ggRyPeN5BcQSBJ2UB6G8L,Filtr Christmas Sweden,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846fc949ee57fa6fcf683956c7
playlist,Pentatonix Christmas Playlist,,https://open.spotify.com/playlist/0AR3iE7fzWGkIZlBedm3mL,abesamisluis,https://mosaic.scdn.co/640/ab67616d00001e02345a0b7e0a608d66bec80d55ab67616d00001e023a58f9ec8f85fab3e17ee75eab67616d00001e02ddbbb08d6f7a6ed263fa6afcab67616d00001e02e0283afa7dd6c6ac806fb67c
playlist,christmas vibes,santa claus gimme more presents,https://open.spotify.com/playlist/0fAjqR8W08ycQWWOcI575a,bogma,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e91efbf9d7976030381784f3
playlist,Christmas 🎅🏼,"lagu2 buat lo pada yg natalan, yg ga natalan ya yaudah",https://open.spotify.com/playlist/77Lo9XhysnegenNl0q0Unz,dido,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da845b7dbc70ff0f1909e590b941
playlist,Christmas Jazz Coffee Shop,"Jazzy Christmas songs that remind me of a coffee shop, be sure to follow Jason Fabus if you enjoy the Fabus four!",https://open.spotify.com/playlist/6YFnXXAx7g9uzC3lUXI9Wt,Joshua Winegar,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8453a13a7db903b4d65c367107
playlist,Christmas Vibes,Christmas Hits 2024,https://open.spotify.com/playlist/7cNwHyqEauOw71WtK7sOZ2,Jessica Klingen,https://mosaic.scdn.co/640/ab67616d00001e024246e3158421f5abb75abc4fab67616d00001e027845f74d6db14b400fa61cd3ab67616d00001e02f2d2adaa21ad616df6241e7dab67616d00001e02fd56f3c7a294f5cfe51c7b17
playlist,Christmas Songs for Kids 2024 🎄🎅⛄️,Get ready to jingle all the way into the festive spirit with this fun Christmas playlist! Packed with all your children’s favourite tunes that they can’t help but sing along to. Merry Christmas everyone! (Little Rainbow Playlists 2024),https://open.spotify.com/playlist/1Pt4moXoIlkfMKf3Cxk9Ih,Little Rainbow,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da8425b562dfc8218b78eb562071
playlist,christmas vibes,,https://open.spotify.com/playlist/7cciRYo1tRgWih81FM4hwe,annika carla,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842f4e05fd15027d6e7e22f479
playlist,Christian Christmas 2024 | Christmas Worship 2024,Christian Christmas Songs | Christmas Worship Songs | Christmas Christian | Christmas Worship | Christian Christmas Music | Christmas Worship Music | Christmas Praise Songs | Best Christian Christmas Songs | New Christmas Worship | Christmas Christian 2024 | Advent 2024 | Christian Christmas 2024,https://open.spotify.com/playlist/4ehT0YZiCFNDRtD5wu85No,Hillside Playlists,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a3c38c29f8c477aa5f352382
